137;Emberiza bruniceps Brandt, 1841;4654;Passeriformes;Emberizidae;23/09/1963;23/09/1963
138;Emberiza calandra Linnaeus, 1758;4686;Passeriformes;Emberizidae;21/04/1878;09/05/2013
139;Emberiza cia Linnaeus, 1766;4663;Passeriformes;Emberizidae;11/02/1877;15/08/1970
140;Emberiza cirlus Linnaeus, 1758;4659;Passeriformes;Emberizidae;20/12/1881;08/07/2005
141;Emberiza citrinella Linnaeus, 1758;4657;Passeriformes;Emberizidae;23/11/1873;06/09/1993
142;Emberiza hortulana Linnaeus, 1758;4665;Passeriformes;Emberizidae;31/08/1872;19/08/1993
143;Emberiza pusilla Pallas, 1776;4667;Passeriformes;Emberizidae;23/10/1966;23/10/1966
144;Emberiza schoeniclus schoeniclus (Linnaeus, 1758);4671;Passeriformes;Emberizidae;06/01/1873;30/11/1988
145;Emberiza schoeniclus (Linnaeus, 1758);4669;Passeriformes;Emberizidae;22/01/1911;27/03/1967
146;Eremophila alpestris (Linnaeus, 1758);3681;Passeriformes;Alaudidae;06/12/1869;31/12/1939
147;Erithacus rubecula (Linnaeus, 1758);4001;Passeriformes;Saxicolidae;07/04/1885;09/04/2013
148;Eudromias morinellus (Linnaeus, 1758);3153;Charadriiformes;Charadriidae;02/05/1868;26/09/1977
149;Falco columbarius Linnaeus, 1758;2676;Falconiformes;Falconidae;25/09/1868;29/10/1986
150;Falco eleonorae Géné, 1839;2681;Falconiformes;Falconidae;14/06/1953;14/06/1953
151;Falco naumanni Fleischer, 1818;2666;Falconiformes;Falconidae;17/03/1952;17/03/1952
152;Falco peregrinus Tunstall, 1771;2938;Falconiformes;Falconidae;01/01/1869;08/02/1990
153;Falco subbuteo Linnaeus, 1758;2679;Falconiformes;Falconidae;10/10/1863;20/09/1988
154;Falco tinnunculus Linnaeus, 1758;2669;Falconiformes;Falconidae;01/01/1857;15/01/2003
155;Falco vespertinus Linnaeus, 1766;2674;Falconiformes;Falconidae;11/09/1869;31/03/1890
156;Ficedula albicollis (Temminck, 1815);4327;Passeriformes;Muscicapidae;19/04/1949;19/04/1949
157;Ficedula hypoleuca (Pallas, 1764);4330;Passeriformes;Muscicapidae;25/09/1873;12/04/2013
158;Ficedula parva (Bechstein, 1794);4324;Passeriformes;Muscicapidae;05/10/1961;05/10/1961
159;Fratercula arctica (Linnaeus, 1758);3402;Charadriiformes;Alcidae;26/07/1908;05/01/1991
160;Fringilla coelebs Linnaeus, 1758;4564;Passeriformes;Fringillidae;23/11/1873;15/02/2000
